LL,FC,SC,ρnorm,ωnorm,C,T,η/Civ,qu,CEM,Reference 
53.5,40,60,1.009493671,0.978723404,1,7,78.23145,295.5707,II,"(Dong et al., 2022)"
53.5,40,60,1.018987342,0.962765957,2,7,38.81834,577.6831,II,"(Dong et al., 2022)"
53.5,40,60,1.029113924,0.941489362,3,7,25.6538,763.7138,II,"(Dong et al., 2022)"
53.5,40,60,1.038607595,0.925531915,4,7,19.09018,833.2198,II,"(Dong et al., 2022)"
53.5,40,60,1.048101266,0.904255319,5,7,15.15134,918.0579,II,"(Dong et al., 2022)"
53.5,40,60,1.009493671,0.978723404,1,14,78.23145,443.7819,II,"(Dong et al., 2022)"
53.5,40,60,1.018987342,0.962765957,2,14,38.81834,868.9949,II,"(Dong et al., 2022)"
53.5,40,60,1.029113924,0.941489362,3,14,25.6538,1305.048,II,"(Dong et al., 2022)"
53.5,40,60,1.038607595,0.925531915,4,14,19.09018,1213.458,II,"(Dong et al., 2022)"
53.5,40,60,1.048101266,0.904255319,5,14,15.15134,1258.433,II,"(Dong et al., 2022)"
53.5,40,60,1.009493671,0.978723404,1,28,78.23145,415.0517,II,"(Dong et al., 2022)"
53.5,40,60,1.018987342,0.962765957,2,28,38.81834,882.2828,II,"(Dong et al., 2022)"
53.5,40,60,1.029113924,0.941489362,3,28,25.6538,1275.809,II,"(Dong et al., 2022)"
53.5,40,60,1.038607595,0.925531915,4,28,19.09018,1413.799,II,"(Dong et al., 2022)"
53.5,40,60,1.048101266,0.904255319,5,28,15.15134,1592.675,II,"(Dong et al., 2022)"
54,51.1,30.1,1.022346369,0.966292135,3,7,18.47572,1910,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,0.966292135,3,28,18.47572,2450,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,0.966292135,3,60,18.47572,2950,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,0.966292135,3,90,18.47572,2990,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,0.983146067,6,7,8.478153,3070,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,0.983146067,6,28,8.478153,3620,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,0.983146067,6,60,8.478153,4080,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,0.983146067,6,90,8.478153,4250,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,1.011235955,9,7,5.766275,3980,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,1.011235955,9,28,5.766275,4840,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,1.011235955,9,60,5.766275,5590,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,1.011235955,9,90,5.766275,5610,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,0.853932584,3,7,18.47572,1340,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,0.853932584,3,28,18.47572,1820,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,0.853932584,3,60,18.47572,1980,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,0.853932584,3,90,18.47572,1970,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,0.870786517,6,7,8.478153,2510,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,0.870786517,6,28,8.478153,2990,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,0.870786517,6,60,8.478153,3640,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,0.870786517,6,90,8.478153,3640,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,0.898876404,9,7,5.766275,3610,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,0.898876404,9,28,5.766275,4310,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,0.898876404,9,60,5.766275,5610,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,0.898876404,9,90,5.766275,5260,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,1.078651685,3,7,18.47572,720,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,1.078651685,3,28,18.47572,910,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,1.078651685,3,60,18.47572,1330,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.022346369,1.078651685,3,90,18.47572,1330,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,1.095505618,6,7,8.478153,1380,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,1.095505618,6,28,8.478153,1480,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,1.095505618,6,60,8.478153,1850,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.061452514,1.095505618,6,90,8.478153,1970,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,1.123595506,9,7,5.766275,1850,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,1.123595506,9,28,5.766275,2320,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,1.123595506,9,60,5.766275,2830,II,"(Mengue et al., 2017)"
54,51.1,30.1,1.067039106,1.123595506,9,90,5.766275,3060,II,"(Mengue et al., 2017)"
50.52,44,26,0.995192308,0.923076923,5,1,7.709289,2993.557,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.826923077,5,1,7.709289,2786.596,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.019230769,5,1,7.709289,2610.012,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.115384615,5,1,7.709289,2308.114,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.211538462,5,1,7.709289,2061.278,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.826923077,5,3,7.709289,3733.839,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.923076923,5,3,7.709289,3595.231,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.019230769,5,3,7.709289,3293.332,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.115384615,5,3,7.709289,2792.067,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.211538462,5,3,7.709289,2662.951,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.826923077,5,7,7.709289,4118.831,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.923076923,5,7,7.709289,3830.224,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.019230769,5,7,7.709289,3786.553,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.115384615,5,7,7.709289,3218.83,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.211538462,5,7,7.709289,2956.803,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.826923077,5,14,7.709289,4600.318,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.923076923,5,14,7.709289,4454.115,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.019230769,5,14,7.709289,4068.672,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.115384615,5,14,7.709289,3793.353,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.211538462,5,14,7.709289,3590.188,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.826923077,5,21,7.709289,4979.275,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.923076923,5,21,7.709289,4882.438,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.019230769,5,21,7.709289,4806.488,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.115384615,5,21,7.709289,4307.122,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.211538462,5,21,7.709289,4176.11,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.826923077,5,28,7.709289,5557.595,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,0.923076923,5,28,7.709289,5348.734,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.019230769,5,28,7.709289,4999.368,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.115384615,5,28,7.709289,4953.798,I,"(Chamling et al., 2021)"
50.52,44,26,0.995192308,1.211538462,5,28,7.709289,4889.24,I,"(Chamling et al., 2021)"
43.6,82.74,17.26,0.93642018,0.317460317,10,0,13.03349,162.6736,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.93642018,0.317460317,10,7,13.03349,178.1573,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.93642018,0.317460317,10,14,13.03349,216.1087,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.93642018,0.396825397,10,28,13.03349,268.7808,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.946786455,0.396825397,10,0,12.75351,160.6593,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.946786455,0.476190476,10,7,12.75351,196.2864,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.946786455,0.476190476,10,14,12.75351,222.617,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.946786455,0.476190476,10,28,12.75351,293.1086,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.93642018,0.531746032,10,0,13.03349,112.5467,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.93642018,0.531746032,10,7,13.03349,140.8136,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.93642018,0.531746032,10,14,13.03349,176.4409,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.93642018,0.555555556,10,28,13.03349,224.4644,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.927436075,0.555555556,10,0,13.28121,93.09996,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.927436075,0.555555556,10,7,13.28121,396.4088,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.927436075,0.555555556,10,14,13.28121,539.7281,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.927436075,0.555555556,10,28,13.28121,615.6433,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.863165169,0.555555556,10,0,15.20373,38.0133,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.863165169,0.555555556,10,7,15.20373,69.76782,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.863165169,0.555555556,10,14,15.20373,92.99901,I,"(Nguyen et al., 2020)"
43.6,82.74,17.26,0.863165169,0.555555556,10,28,15.20373,235.931,I,"(Nguyen et al., 2020)"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
